ID,reputation
11561068,1
11561069,1
11561070,11
11561071,516
11561072,1
11561073,1
11561074,1
11561075,1
11561076,13
11561077,1
11561078,1
11561079,1
11561080,1
11561081,1
11561082,1
11561083,1
11561084,1
11561085,1
11561086,1
11561087,21
11561088,9
11561089,1
11561090,1
11561091,1
11561092,1
11561093,1
11561094,1
11561095,1
11561096,1
11561097,1
11561098,1
11561099,1
11561100,1
11561101,1
11561103,1
11561104,1
11561105,23
11561106,1
11561107,1
11561108,1
11561109,1
11561110,1
11561111,1
11561112,1
11561113,1
11561114,1
11561115,1
11561116,1
11561117,1
11561118,1
11561119,11
11561120,1
11561121,561
11561122,1
11561123,1
11561124,1
11561126,1
11561127,1
11561128,1
11561129,1
11561130,1
11561131,1
11561132,1
11561133,1
11561134,21
11561135,1
11561136,1
11561137,1
11561138,1
11561139,1
11561140,1
11561141,1
11561142,1
11561143,1
11561144,1
11561145,1
11561146,1
11561147,1
11561148,1
11561149,1
11561150,1
11561151,1
11561152,1
11561153,1
11561154,1
11561155,1
11561156,1
11561157,1
11561158,530
11561159,1
11561160,1
11561161,1
11561162,1
11561163,1
11561164,1
11561165,1
11561166,1
11561167,1
11561168,1
11561169,1
11561170,1
11561171,178
11561172,1
11561173,1
11561174,11
11561175,1
11561176,1
11561177,1
11561178,1
11561179,1
11561180,1
11561181,1
11561182,1
11561183,13
11561184,1
11561185,1
11561186,11
11561187,1
11561188,1
11561189,1
11561190,1
11561191,11
11561192,1
11561193,1
11561194,1
11561195,1
11561196,1
11561197,1
11561198,1
11561199,1
11561200,1
11561201,1
11561202,1
11561203,1
11561204,1
11561205,1
11561206,1
11561207,1
11561208,1
11561209,1
11561210,1
11561211,7
11561212,1
11561213,1
11561214,1
11561215,1
11561216,1
11561217,1
11561218,1
11561219,1
11561220,23
11561221,1
11561222,1
11561223,1
11561224,1
11561225,1
11561226,1
11561227,1
11561228,1
11561229,5
11561230,1
11561231,1
11561232,1
11561233,1
11561234,1
11561235,1
11561236,3
11561237,1
11561238,1
11561239,189
11561240,11
11561241,1
11561242,95
11561243,1
11561244,1
11561245,1
11561246,26
11561247,1
11561248,1
11561249,1
11561250,1
11561251,1
11561252,1
11561253,1
11561254,1
11561255,1
11561256,1
11561257,1
11561258,1
11561259,1
11561260,1
11561261,1
11561262,31
11561263,1
11561264,3
11561265,1
11561266,3
11561267,1
13571849,59
13571850,1
13571851,1
13571852,1
13571853,1
13571854,1
13571855,1
13571856,1
13571857,1
13571858,1
13571859,1
13571860,1
13571861,1
13571862,1
13571863,1
13571864,3
13571865,1
13571866,1
13571867,1
13571868,1
13571869,1
13571870,3237
13571871,1
13571872,23
13571873,1
13571874,1
13571875,1
13571876,1
13571877,1
13571878,1
13571879,99
13571880,1
13571881,1
13571882,1
13571883,1
13571884,1
13571885,1
13571886,1
13571888,1
13571889,1
13571890,1
13571891,1
13571892,1
13571893,1
13571894,1
13571895,1
13571896,1
13571897,1
13571898,1
13571899,1
13571900,1
13571901,1
13571902,11
13571903,1
13571904,1
13571905,1
13571906,1
13571907,1
13571908,1
13571909,1
13571910,11
13571911,1
13571912,1
13571913,1
13571914,7
13571915,1
13571916,1
13571917,1
13571918,1
13571919,1
13571920,1
13571921,59
13571922,1
13571923,1
13571924,1
13571925,1
13571926,1
13571927,1
13571928,1
13571929,1
13571930,29
13571931,1
13571932,1
13571933,1
13571934,1
13571935,1
13571936,1
13571937,1
13571939,3
13571940,1
13571941,1
13571942,1
13571943,1
13571944,1
13571945,1
13571946,1
13571947,1
13571948,1
13571949,1
13571950,1
13571951,1
13571952,1
13571953,1
13571954,3
13571955,1
13571956,1
13571957,1
13571958,1
13571959,1
13571960,1
13571961,1
13571962,1
13571963,43
13571964,1
13571965,1
13571966,1
13571967,1
13571968,1
13571969,1
13571970,1
13571971,1
13571972,1
13571973,1
13571974,1
13571975,1
13571976,1
13571977,1
13571978,1
13571979,1
13571980,1
13571981,43
13571982,1
13571983,1
13571984,1
13571985,1
13571986,1
13571987,1
13571988,1
13571989,11
13571990,1
13571991,1
13571992,1
13571993,1
13571994,1
13571995,1
13571996,1
13571997,1
13571998,1
13571999,1
13572000,1
13572001,1
13572002,11
13572003,1
13572004,1
13572005,1
13572006,1
13572007,1
13572008,1
13572009,1
13572010,1
13572011,1
13572012,1
13572013,1
13572014,1
13572015,1
13572016,1
13572017,1
13572018,1
13572020,1
13572021,1
13572022,1
13572023,1
13572024,1
13572025,1
13572026,1
13572027,1
13572028,1
13572029,1
13572030,11
13572031,1
13572032,1
13572033,1
13572034,1
13572035,1
13572036,21
13572037,1
13572038,1
13572039,1
13572040,1
13572041,1
13572042,1
13572043,1
13572044,1
13572045,1
13572046,1
13572047,1
13572048,1
13572049,1
13572050,1
13572052,1
13572053,1
13572054,1
13572055,1
13572056,1
13572057,1
13572058,13
13572059,1
13572060,1
13572061,1
13572062,1
13572063,1
13572064,1
4450039,1
4450040,11
4450041,1
4450042,1
4450043,67
4450044,1
4450045,1
4450046,1
4450047,3
4450048,229
4450049,1
4450050,1
4450051,1
4450052,1
4450053,1
4450054,1
4450055,16
4450056,1
4450057,9
4450058,1
4450059,1
4450060,170
4450061,3
4450062,1
4450063,1
4450064,1
4450065,51
4450066,1
4450067,1
4450068,31
4450069,1
4450070,1
4450072,1193
4450073,1
4450074,1
4450076,1
4450077,51
4450078,1
4450079,1
4450080,19
4450081,1
4450082,1
4450083,31
4450084,1
4450085,1
4450086,1
4450087,1
4450088,1
4450089,346
4450090,1652
4450091,31
4450092,71
4450094,1
4450095,31
4450097,45
4450098,1957
4450099,101
4450100,101
4450101,1
4450102,11
4450103,1
4450105,91
4450106,71
4450107,23
4450108,1
4450109,1
4450110,1
4450111,1
4450112,1
4450113,29
4450115,305
4450116,1
4450117,1
4450118,1
4450119,1
4450120,1
4450121,1
4450122,1
4450123,1
4450124,101
4450125,21
4450126,17
4450127,1
4450128,1
4450129,1
4450130,1
4450131,1
4450132,1
4450133,1
4450134,3149
4450135,1
4450137,1
4450138,1
4450139,1
4450140,15
4450141,1
4450142,1
4450143,161
4450144,161
4450145,1
4450146,1
4450147,1
4450149,1
4450150,75
4450151,1
4450152,1
4450153,1
4450154,1
4450155,1
4450156,1
4450157,362
4450158,23
4450159,11
4450160,1
4450161,1
4450162,1
4450163,1
4450164,1
4450165,1
4450166,13
4450167,1
4450169,1
4450170,15
4450171,1
4450173,31
4450174,1
4450175,1
4450176,1
4450177,1
4450178,1
4450179,1
4450180,1
4450181,73
4450182,17
4450183,1
4450184,11
4450185,1
4450186,11
4450187,4482
4450188,1
4450190,15
4450191,1
4450192,1
4450193,121
4450194,1
4450195,1
4450196,1
4450197,1
4450198,1
4450199,13
4450200,1
4450201,1
4450202,45
4450203,11
4450204,1
4450205,1
4450206,432
4450207,51
4450208,1
4450209,596
4450210,91
4450211,711
4450212,1
4450213,1
4450214,1
4450215,1
4450216,1
4450217,1
4450218,1
4450219,1
4450220,1
4450221,1
4450222,1
4450223,1
4450224,1
4450225,1
4450226,149
4450227,1
4450228,1
4450229,310
4450230,1
4450231,1
4450232,9
4450233,1
4450234,1
4450235,1
4450236,1
4450237,1
4450238,1
4450239,1
4450240,11
4450241,111
4450242,1
4450243,1
4450244,1
4450245,13
4450246,1
4450247,5
4450248,1
4450249,49
4450250,1
4450251,1
4450252,131
4450253,1
4450254,1
4450255,1
4450256,17
4450257,1
4450258,9
4450259,1
4450260,1899
4450261,1
4450262,3
4450263,26
4450264,581
4450265,1
4450266,1
4450268,1
4450269,1
4450270,1
4450271,1
4450272,1
4450273,1
4450274,3
4450275,5651
4450276,11
4450277,1
4450278,1
4450279,1
4450280,11
4450281,23
4450283,1
4450284,1
4450285,1
4450286,51
4450287,1
4450288,25
4450289,1
4450290,1
4450291,31
4450292,41
4450293,1
4450294,21
4450295,1
4450296,1
4450297,101
4450298,36
4450299,15
4450300,15
4450301,11
4450302,1
4450303,1
4450304,1
4450305,341
4450306,1
4450307,3
4450308,1
4450309,1
4450310,289
4450311,1
4450312,11
4450313,1
4450314,1
4450315,26
4450316,1
4450317,1
4450318,13
4450320,11
4450321,15
4450322,1
4450323,1
4450324,1
4450325,1
4450326,1
4450327,11
4450328,11
4450329,1
4450330,186
4450332,54
4450333,1
4450334,93
4450335,198
4450336,1164
4450337,1
4450338,5
4450339,1
4450340,1
4450341,23
4450342,1
4450343,1
4450344,491
4450345,1
4450346,1
4450347,1
4450348,93
4450349,1
4450350,1
4450351,1
4450352,11
4450353,45
4450354,38
4450355,106
4450356,26
4450357,1
4450358,11
4450359,1
4450360,1
4450361,1
4450362,1
4450363,1
4450364,1
4450366,1
4450367,51
4450368,1
4450369,46
4450370,1
4450371,285
4450372,1
4450373,1
4450374,1
4450375,71
4450376,29
4450377,1
4450378,1
4450379,1
4450380,1
4450381,1
4450382,1
4450383,1
4450384,1
4450385,11
4450386,1
4450387,1
4450389,1
4450390,1
4450391,1
4450392,1
4450393,3
4450394,1
4450395,31
4450396,1
4450397,1
4450398,1
4450399,1
4450400,11
4450401,1
4450402,1
4450403,11
4450404,1
4450406,1
4450407,69
4450409,11
4450410,11
4450411,41
4450412,1
4450413,1
4450414,1
4450415,1
4450416,1
4450417,33
4450418,58
4450419,1
4450421,1
4450422,45
4450423,79
4450424,1
4450425,11
4450426,1
4450427,35
4450429,1
4450430,1
4450431,1
4450432,1
4450433,1
4450435,1
4450436,3
4450437,1
4450438,1
4450439,1
4450440,73
4450441,1
4450442,1
4450443,1
4450444,11
4450445,16
4450447,3
4450448,3
4450449,355
4450450,151
4450451,1
4450452,1
4450453,1
4450454,1
4450455,1
4450456,1
4450457,3865
4450459,1
4450460,1
4450461,21
4450462,1
4450463,1
4450464,1
4450465,1
4450466,1
4450467,1
4450468,1
4450470,21
4450471,85
4450472,1
4450473,1
4450474,1
4450475,1
4450476,11
4450477,81
4450478,1
4450479,71
4450480,1
4450481,11
4450482,11
4450483,1
4450484,1
4450485,11
4450486,3
4450487,1
4450488,1
4450489,1
4450491,1
4450492,1
4450493,1
4450494,21
4450495,1
4450496,1
4450497,13
4450498,21
4450499,1
4450500,21
4450501,1
4450502,1
4450503,1
4450504,195
4450505,1
4450506,43
4450507,1
4450508,501
4450509,21
4450510,1
4450511,1
4450512,23
4450513,1
4450514,1
4450515,1
4450516,1
4450517,41
4450518,426
4450519,1
4450520,1
4450521,1
4450522,69
4450523,489
4450524,1
4450525,1
4450526,38
4450527,1
4450528,1
4450529,1
4450530,1
4450532,3
4450533,9
4450534,1
4450535,1
4450536,19
4450537,1
4450538,1
4450539,13
4450540,1
4450542,200
4450543,3
4450545,1
4450546,1
4450547,1
4450548,1
4450549,11
4450550,1
4450552,1
4450553,69
4450554,329
4450555,1
4450556,55
4450557,1
4450558,48
4450559,1
4450560,91
4450561,1
4450562,11
4450563,1
4450564,25
4450565,1
4450566,13
4450567,1
4450568,1
4450569,1
4450570,1
4450571,1
4450572,101
4450573,1
4450575,1
4450576,73
4450577,1
4450578,150
4450579,1
4450580,1
4450581,1
4450582,5
4450583,29
4450584,1
4450585,79
4450586,1
4450587,1
4450588,1
4450589,1
4450590,1
4450591,1
4450592,1
4450593,1
4450594,223
4450595,1
4450596,13
4450597,1
4450598,1
4450599,3
4450600,1
4450601,1
4450602,85
4450603,1
4450604,21
4450605,36
4450606,11
4450607,96
4450608,9
4450609,1
4450610,1
4450611,11
4450612,1
4450613,105
4450614,11
4450615,1
4450616,1
4450617,1
4450618,684
4450619,1
4450620,1
4450621,1
4450622,1
4450623,1
4450624,111
4450625,1
4450626,103
4450627,1
4450628,1
4450629,281
4450630,13
4450631,1
4450632,1
4450633,1
4450634,1
4450636,1
4450637,1
4450638,9
4450639,1
4450640,3
4450641,23
4450642,1
4450643,780
4450644,1
4450645,69
4450646,1
4450647,13
4450648,1
4450649,1
4450650,1
4450651,4118
4450652,41
4450653,1
4450654,1
4450655,1
4450656,1
4450657,1
4450658,7
4450659,1
4450660,51
4450661,1
4450662,1
4450663,11
4450664,1
4450665,1
4450666,1
4450667,1
4450668,1
4450669,1
4450670,161
4450671,1
4450672,11
4450673,381
4450674,151
4450675,1
4450676,1
4450677,1
4450678,9
4450679,1
4450680,35
4450681,67
4450682,1
4450683,1
4450684,1
4450685,11
4450686,1
4450687,1
4450688,1
4450689,1
4450690,11
4450691,591
4450692,1
4450694,1
4450695,1
4450696,1
4450697,13
4450698,1
4450699,1
4450700,1
4450701,1
4450702,1
4450703,1
4450704,1
4450705,11
4450706,1
4450707,1
4450708,1
4450709,1
4450710,271
4450711,107
4450712,126
4450713,11
4450714,1
4450715,1
4450716,1
4450717,139
4450718,1
4450719,1
4450721,3491
4450722,101
4450723,1
4450724,1
4450725,17
4450726,11
4450727,21
4450728,1
4450729,11
4450730,151
4450731,1
4450732,1
4450733,161
4450734,13
4450735,1
4450736,1
4450737,1
4450739,1
4450740,1
4450742,1
4450743,1
4450744,45
4450745,1
4450746,1
4450747,1
4450748,83
4450749,1
4450750,1
4450751,1
4450752,1
4450753,13
4450754,26
4450755,11
4450756,1
4450757,1
4450758,1
4450759,3
4450760,1
4450761,11
4450762,21
4450763,1
4450764,1
4450765,155
4450766,25
4450767,1
4450768,1
4450769,1
4450770,21
4450771,1
4450772,9
4450773,1
4450774,1
4450775,21
4450776,1
4450777,1
4450778,89
4450779,1
4450780,1
4450781,11
4450782,1
4450783,11
4450784,1
4450785,1
4450786,1
4450787,1
4450788,1191
4450789,1
4450790,1
4450791,1
4450792,3
4450793,11
4450794,1
4450795,79
4450796,63
4450797,1
4450798,23
4450799,1
4450800,1
4450801,1
4450803,1
4450804,1
4450805,732
4450806,11
4450807,1
4450809,1
4450810,1
4450811,31
4450812,1
4450813,1
4450814,69
4450815,11
4450816,1
4450817,1429
4450818,1
4450819,35
4450820,43
4450821,1
4450822,1
4450823,1
4450824,1
4450825,13
4450826,1
4450827,1
4450828,51
4450829,1
4450830,1
4450831,1
4450832,1
4450833,595
4450834,1
4450835,1
4450836,1
4450837,1
4450838,71
4450840,9
4450841,1
4450843,1
4450844,1
4450845,1
4450846,1
4450847,1
4450848,1
4450849,1
4450850,39
4450851,368
4450852,1
4450853,1
4450854,51
4450855,1
4450856,1
4450857,11
4450858,440
4450859,3
4450860,1
4450861,12
4450862,195
4450863,1
4450864,1
4450867,63
4450868,15
4450869,1
4450870,1
4450872,41
4450873,1
4450874,1
4450875,1
4450876,93
4450877,101
4450878,11
4450879,1
4450880,83
4450881,1
4450882,64
4450883,1
4450884,1
4450885,3
4450886,1
4450887,1
4450888,1
4450889,1
4450890,11
4450891,96
4450892,1
4450893,2180
4450894,21
4450895,11
4450896,1
4450897,1
4450898,33
4450899,31
4450900,1
4450901,1
4450902,51
4450903,1
4450904,139
4450905,5
4450906,1
4450907,1
4450908,241
4450909,1
4450910,1
4450911,1
4450912,1
4450913,11
4450914,113
4450915,1
4450916,1
4450917,1
4450918,3
4450919,1
4450920,1
4450921,1
4450923,147
4450924,1
4450926,1
4450927,38
4450928,1
4450929,1
4450930,23
4450931,23
4450932,1
4450933,111
4450934,1
4450935,31
4450936,1
4450937,1
4450938,276
4450940,1
4450941,1508
4450942,13
4450943,11
4450945,1
4450946,1
4450947,45
4450948,1
4450949,1
4450950,5
4450951,124
4450952,1
4450953,1
4450954,1
4450955,13
4450956,1
4450957,11
4450958,1
4450959,13
4450960,1
4450961,1
4450962,1
4450963,1
4450964,1
4450965,1
4450966,1
4450967,1
4450968,29
4450969,1
4450970,21
4450971,31
4450972,1
4450973,1
4450974,1
4450975,31
4450976,55
4450977,5
4450978,1
4450979,11
4450980,21
4450981,1
4450982,1
4450983,1
4450984,1
4450985,171
4450986,624
4450987,1
4450988,1
4450989,11
4450990,1
4450991,1
4450992,21
4450993,1
4450994,1
4450995,92
4450996,1
4450997,1
4450999,1
4451001,1
4451002,1
4451003,1535
4451004,1
4451005,129
4451006,1
4451007,101
4451008,23
4451009,1
4451010,771
4451011,1
4451012,133
4451014,1
4451015,1
4451016,1
4451017,57
4451018,429
4451019,1
4451020,1
4451021,57
4451022,1
4451023,1
4451024,31
4451026,1
4451028,3
4451029,41
4451030,1
6304468,1
6304469,1
6304470,19
6304471,1
6304472,1022
6304473,1
6304474,1
6304475,1
6304476,11
6304477,1
6304478,1
6304479,1
6304480,1
6304481,1
6304482,1
6304483,13
6304484,1
6304485,1
6304486,1
6304487,9
6304488,1
6304489,1
6304490,11
6304491,1
6304492,1
6304493,1
6304494,1
6304495,1
6304496,1
6304497,1
6304498,1
6304499,1
6304500,1
6304501,1
6304502,1
6304503,1
6304504,1
6304505,1
6304506,11
6304507,1
6304508,11
6304509,1
6304510,1
6304511,1
6304512,1
6304513,66
6304514,1
6304515,1
6304516,33
6304517,1
6304518,1
6304519,1
6304520,51
6304521,63
6304522,1
6304523,3
6304524,1
6304525,1
6304527,11
6304528,1
6304529,1
6304530,1
6304531,1
6304532,1
6304533,1
6304534,1
6304535,1
6304537,144
6304538,41
6304539,1
6304540,1
